               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.032216,           0.0098173,                   0,             0.95179,             0.98767,             0.97119,             0.58021,             0.03315,           0.0046234,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.035132,           0.0075376,                   0,             0.95161,             0.98377,              0.9831,             0.61366,            0.027697,           0.0046835,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.028801,           0.0089365,                   0,             0.95187,             0.98927,             0.95452,             0.48022,            0.035209,           0.0043678,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.035803,            0.008268,                   0,             0.95162,             0.98401,              0.9569,             0.72328,            0.023266,           0.0043674,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.033284,           0.0087279,                   0,             0.94982,                   1,             0.94762,              0.5475,            0.029725,           0.0043511,                   0,            0.007756,            0.007756,            0.007756
                  70,             0.03205,           0.0082107,                   0,             0.94854,                   1,             0.98548,             0.74752,            0.022056,           0.0044184,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.025329,            0.008561,                   0,             0.94457,                   1,             0.94762,             0.60347,             0.03378,           0.0042715,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.035333,           0.0082477,                   0,             0.89596,                   1,             0.94795,             0.66607,            0.022909,           0.0042243,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.029649,           0.0078031,                   0,             0.89535,                   1,             0.96222,              0.5494,            0.026917,           0.0042243,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.029984,           0.0082344,                   0,             0.94692,                   1,             0.97357,              0.7617,            0.022322,           0.0041237,                   0,            0.007591,            0.007591,            0.007591
                  75,             0.02227,           0.0076484,                   0,             0.92478,                   1,             0.94762,             0.56244,            0.031453,           0.0041132,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.031774,           0.0071034,                   0,             0.92469,                   1,             0.94762,             0.75168,            0.020881,           0.0040283,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.027618,           0.0073353,                   0,             0.94761,                0.95,             0.94123,              0.5975,             0.02834,           0.0040956,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.028023,           0.0072407,                   0,             0.93397,                   1,             0.94762,             0.68845,            0.018843,           0.0039916,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.022784,            0.007555,                   0,             0.95203,             0.99261,             0.94762,             0.65243,            0.028098,           0.0040216,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.035354,           0.0076619,                   0,             0.94552,                   1,              0.9569,             0.63888,            0.022264,           0.0039363,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.028938,           0.0080196,                   0,             0.92094,                0.95,             0.96598,              0.7343,             0.02665,            0.003974,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.026651,            0.007749,                   0,             0.94942,                   1,             0.98071,             0.62523,            0.023319,           0.0038042,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.022175,           0.0078527,                   0,             0.93756,                   1,             0.98071,             0.64365,            0.032279,           0.0038657,                   0,            0.007294,            0.007294,            0.007294
                  84,             0.03672,           0.0081517,                   0,             0.94911,                   1,             0.97833,             0.76761,            0.024007,           0.0038161,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.028719,           0.0067544,                   0,             0.94304,                   1,             0.98786,             0.69719,            0.026285,           0.0037761,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.026524,           0.0068414,                   0,             0.94894,                   1,             0.98548,             0.60532,            0.023852,           0.0037808,                   0,            0.007195,            0.007195,            0.007195
